SIMULATED TIME,SIMULATED THRUST,ACTUAL TIME (ms),ACTUAL TIME (s),ACTUAL THRUST (gf),ACTUAL THRUST (N),12TH TIME (ms),12TH TIME(s),12TH THRUST (gf),12TH THRUST(N)
0,0,134956,0,-14.91,-0.1462671,409895,0,-381.97,-3.7471257
0.03,1113.17484,134979,0.023,-11.05,-0.1084005,409906,0.011,532.27,5.2215687
0.06,1140.93601,134990,0.034,-7.37,-0.0722997,409917,0.022,1712.38,16.7984478
0.09,1168.54542,135023,0.067,1.23,0.0120663,409928,0.033,4060.68,39.8352708
0.12,1195.95482,135192,0.236,117.5,1.152675,409939,0.044,8989.48,88.1867988
0.15,1223.1147,135214,0.258,146.44,1.4365764,409951,0.056,17889.86,175.4995266
0.18,1249.97442,135225,0.269,146.97,1.4417757,409962,0.067,33971.59,333.2612979
0.21,1273.35386,135248,0.292,159.42,1.5639102,409973,0.078,55675.55,546.1771455
0.24,1286.42713,135259,0.303,164.68,1.6155108,409984,0.089,80649.59,791.1724779
0.27,1299.04592,135281,0.325,166.26,1.6310106,409996,0.101,108272.71,1062.155285
0.3,1311.20843,135293,0.337,167.31,1.6413111,410007,0.112,136975.97,1343.734266
0.33,1322.91293,135304,0.348,171.52,1.6826112,410018,0.123,164746.22,1616.160418
0.36,1334.15776,135337,0.381,191.51,1.8787131,410029,0.134,191827.59,1881.828658
0.39,1344.94134,135360,0.404,251.14,2.4636834,410041,0.146,218223.78,2140.775282
0.42,1355.2622,135371,0.415,367.06,3.6008586,410052,0.157,244021.73,2393.853171
0.45,1365.11891,135382,0.426,518.06,5.0821686,410063,0.168,269351.28,2642.336057
0.48,1374.51012,135405,0.449,1018.41,9.9906021,410074,0.179,293883.19,2882.994094
0.51,1383.43459,135416,0.46,1364.96,13.3902576,410085,0.19,317660.62,3116.250682
0.54,1391.89109,135427,0.471,1967.2,19.298232,410097,0.202,341053.84,3345.73817
0.57,1399.87852,135450,0.494,3696.95,36.2670795,410108,0.213,363172.03,3562.717614
0.6,1407.39582,135472,0.516,6897.75,67.6669275,410119,0.224,382493.69,3752.263099
0.63,1414.44198,135483,0.527,9250.79,90.7502499,410130,0.235,397758.66,3902.012455
0.66,1421.01611,135494,0.538,12284.99,120.5157519,410142,0.247,405653.44,3979.460246
0.69,1427.11732,135618,0.662,83307.26,817.2442206,410153,0.258,407596.81,3998.524706
0.72,1432.74484,135629,0.673,92973.69,912.0718989,410164,0.269,407596.81,3998.524706
0.75,1437.89794,135640,0.684,103166.43,1012.062678,410175,0.28,406003.69,3982.896199
0.78,1442.57595,135651,0.695,113789.02,1116.270286,410187,0.292,401428.78,3938.016332
0.81,1446.77827,135685,0.729,146132.41,1433.558942,410198,0.303,395557.34,3880.417505
0.84,1450.50436,135696,0.74,156946.69,1539.647029,410209,0.314,390277.25,3828.619823
0.87,1453.75374,135741,0.785,204023.31,2001.468671,410220,0.325,385307.78,3779.869322
0.9,1456.52599,135808,0.852,266220.09,2611.619083,410231,0.336,380644.5,3734.122545
0.93,1458.82076,135831,0.875,281248.69,2759.049649,410243,0.348,376306.72,3691.568923
0.96,1460.63775,135864,0.908,298756.56,2930.801854,410254,0.359,371951.94,3648.848531
0.99,1461.97671,135876,0.92,302970.34,2972.139035,410265,0.37,367759.72,3607.722853
1.02,1462.83748,135887,0.931,306199.91,3003.821117,410276,0.381,363847.59,3569.344858
1.05,1463.21993,135898,0.942,308522.44,3026.605136,410288,0.393,359697.47,3528.632181
1.08,1463.124,135909,0.953,310232.91,3043.384847,410299,0.404,355416.34,3486.634295
1.11,1462.54969,135920,0.964,311495.97,3055.775466,410310,0.415,351099.59,3444.286978
1.14,1461.49706,135932,0.976,312505.06,3065.674639,410321,0.426,346661.34,3400.747745
1.17,1459.96623,135943,0.987,313369.5,3074.154795,410332,0.437,342108.72,3356.086543
1.2,1457.95737,135954,0.998,314007.34,3080.412005,410344,0.449,337604.87,3311.903775
1.23,1455.47072,135965,1.009,314450.53,3084.759699,410355,0.46,332992.62,3266.657602
1.26,1452.50658,135976,1.02,314797.09,3088.159453,410366,0.471,328330.75,3220.924658
1.29,1449.0653,135988,1.032,315080.31,3090.937841,410377,0.482,323329,3171.85749
1.32,1445.1473,135999,1.043,315199.75,3092.109548,410389,0.494,318342.84,3122.94326
1.35,1440.75305,136010,1.054,315229.03,3092.396784,410400,0.505,313496.66,3075.402235
1.38,1435.8831,136021,1.065,315229.03,3092.396784,410411,0.516,308615.37,3027.51678
1.41,1430.53805,136033,1.077,315051.91,3090.659237,410422,0.527,303722.19,2979.514684
1.44,1424.71855,136044,1.088,314617.84,3086.40101,410434,0.539,299006.31,2933.251901
1.47,1418.42534,136055,1.099,314141.69,3081.729979,410445,0.55,294336.38,2887.439888
1.5,1411.6592,136066,1.11,313595.56,3076.372444,410456,0.561,289673.09,2841.693013
1.53,1404.42099,136077,1.121,313066.28,3071.180207,410467,0.572,285172.03,2797.537614
1.56,1396.71164,136089,1.133,312486.31,3065.490701,410478,0.583,280706.94,2753.735081
1.59,1388.53212,136100,1.144,311870.22,3059.446858,410490,0.595,276270.59,2710.214488
1.62,1379.8835,136111,1.155,311233.41,3053.199752,410501,0.606,271773.94,2666.102351
1.65,1370.76689,136122,1.166,310569.09,3046.682773,410512,0.617,267302.53,2622.237819
1.68,1361.1835,136133,1.177,309790.59,3039.045688,410523,0.628,262885.81,2578.909796
1.71,1351.13459,136146,1.19,308772.53,3029.058519,410535,0.64,258553.31,2536.407971
1.74,1340.6215,136156,1.2,307528.75,3016.857038,410546,0.651,254296.91,2494.652687
1.77,1329.64564,136167,1.211,306157.13,3003.401445,410557,0.662,250394.59,2456.370928
1.8,1318.20851,136178,1.222,304658.34,2988.698315,410568,0.673,246552.95,2418.68444
1.83,1306.31168,136189,1.233,303017.87,2972.605305,410580,0.685,242698.88,2380.876013
1.86,1293.95679,136201,1.245,301208.5,2954.855385,410591,0.696,239054.89,2345.128471
1.89,1281.14559,136212,1.256,299440.88,2937.515033,410602,0.707,235383.37,2309.11086
1.92,1265.64614,136224,1.268,297789.53,2921.315289,410613,0.718,231651,2272.49631
1.95,1238.71435,136234,1.278,296115.56,2904.893644,410624,0.729,227948.44,2236.174196
1.98,1211.43676,136246,1.29,294394.25,2888.007593,410636,0.741,224317.42,2200.55389
2.01,1183.86601,136257,1.301,292512.63,2869.5489,410647,0.752,220560.16,2163.69517
2.04,1156.05377,136268,1.312,290485.09,2849.658733,410658,0.763,216515.25,2124.014603
2.07,1128.0506,136279,1.323,288301.13,2828.234085,410669,0.774,212477.72,2084.406433
2.1,1099.90579,136290,1.334,286002.62,2805.685702,410681,0.786,208607.33,2046.437907
2.13,1071.66721,136302,1.346,283548.03,2781.606174,410692,0.797,204831.28,2009.394857
2.16,1043.38124,136313,1.357,281002.09,2756.630503,410703,0.808,200963.69,1971.453799
2.19,1015.09262,136324,1.368,278528.06,2732.360269,410714,0.819,197043.31,1932.994871
2.22,986.84435,136335,1.379,276033.31,2707.886771,410725,0.83,193169.77,1894.995444
2.25,0,136346,1.39,273517.34,2683.205105,410737,0.842,189043.48,1854.516539
,,136358,1.402,271029.62,2658.800572,410748,0.853,184687.83,1811.787612
,,136369,1.413,268577.69,2634.747139,410759,0.864,180211.67,1767.876483
,,136380,1.424,266117.5,2610.612675,410770,0.875,175439.67,1721.063163
,,136391,1.435,263505.09,2584.984933,410782,0.887,170431.95,1671.93743
,,136402,1.446,260729.73,2557.758651,410793,0.898,165084.7,1619.480907
,,136414,1.458,257961.77,2530.604964,410804,0.909,159457.55,1564.278566
,,136425,1.469,255241.84,2503.92245,410815,0.92,153652.22,1507.328278
,,136436,1.48,252007.53,2472.193869,410827,0.932,147807.25,1449.989123
,,136447,1.491,248769.55,2440.429286,410838,0.943,141467.55,1387.796666
,,136459,1.503,245333.73,2406.723891,410849,0.954,134293.41,1317.418352
,,136470,1.514,241483.52,2368.953331,410860,0.965,126261.3,1238.623353
,,136481,1.525,237696.77,2331.805314,410871,0.976,117590.66,1153.564375
,,136492,1.536,233306.91,2288.740787,410883,0.988,108777.97,1067.111886
,,136503,1.547,228074.53,2237.411139,410894,0.999,99793.93,978.9784533
,,136515,1.559,222631.53,2184.015309,410905,1.01,90748.16,890.2394496
,,136526,1.57,216480.87,2123.677335,410916,1.021,81950.37,803.9331297
,,136537,1.581,210064.89,2060.736571,410928,1.033,73440.37,720.4500297
,,136548,1.592,202966.33,1991.099697,410939,1.044,65180.64,639.4220784
,,136559,1.603,194604.69,1909.072009,410950,1.055,57290.77,562.0224537
,,136571,1.615,185599.78,1820.733842,410961,1.066,49797.79,488.5163199
,,136582,1.626,176216.23,1728.681216,410973,1.078,42806.38,419.9305878
,,136593,1.637,166564.89,1634.001571,410984,1.089,36253.95,355.6512495
,,136604,1.648,156763.59,1537.850818,410995,1.1,30023.32,294.5287692
,,136615,1.659,147290.59,1444.920688,411006,1.111,24119.26,236.6099406
,,136627,1.671,137623.28,1350.084377,411017,1.122,19181.34,188.1689454
,,136638,1.682,128647.84,1262.03531,411029,1.134,15271.66,149.8149846
,,136649,1.693,118709.05,1164.535781,411040,1.145,12268.33,120.3523173
,,136660,1.704,108936.34,1068.665495,411051,1.156,10051.03,98.6006043
,,136672,1.716,99782.18,978.8631858,411062,1.167,8285.16,81.2774196
,,136683,1.727,91466.68,897.2881308,411074,1.179,7006.14,68.7302334
,,136694,1.738,83312.34,817.2940554,411085,1.19,6025.25,59.1077025
,,136705,1.749,75635.04,741.9797424,411096,1.201,5235.36,51.3588816
,,136716,1.76,68090.84,667.9711404,411107,1.212,4600.49,45.1308069
,,136728,1.772,61134.34,599.7278754,411118,1.223,4067.87,39.9058047
,,136739,1.783,55555.42,544.9986702,411130,1.235,3608.38,35.3982078
,,136770,1.814,50690.28,497.2716468,411141,1.246,3216.42,31.5530802
,,136770,1.814,46277.27,453.9800187,411152,1.257,2866.01,28.1155581
,,136772,1.816,42032.97,412.3434357,411163,1.268,2541.39,24.9310359
,,136784,1.828,37923.18,372.0263958,411175,1.28,2227.29,21.8497149
,,136795,1.839,34162.22,335.1313782,411186,1.291,1944.41,19.0746621
,,136806,1.85,30708,301.24548,411197,1.302,1674.5,16.426845
,,136817,1.861,27526.66,270.0365346,411208,1.313,1414.59,13.8771279
,,136828,1.872,24637.85,241.6973085,411220,1.325,1188.71,11.6612451
,,136840,1.884,22069.8,216.504738,411231,1.336,973.87,9.5536647
,,136851,1.895,19788.85,194.1286185,411242,1.347,783.06,7.6818186
,,136862,1.906,17581.72,172.4766732,411253,1.358,610.14,5.9854734
,,136873,1.917,15651.35,153.5397435,411264,1.369,455.98,4.4731638
,,136885,1.929,14121.19,138.5288739,411276,1.381,304.1,2.983221
,,136896,1.94,12784.11,125.4121191,411287,1.392,190.99,1.8736119
,,136907,1.951,11653.81,114.3238761,411298,1.403,94.88,0.9307728
,,136918,1.962,10588.92,103.8773052,411309,1.414,3.86,0.0378666
,,136929,1.973,9672.4,94.886244,411321,1.426,-83.83,-0.8223723
,,136941,1.985,8845.49,86.7742569,411332,1.437,-172.57,-1.6929117
,,136952,1.996,8164.33,80.0920773,,,,
,,136963,2.007,7549.28,74.0584368,,,,
,,136974,2.018,6931.43,67.9973283,,,,
,,136985,2.029,6350.75,62.3008575,,,,
,,136997,2.041,5849.35,57.3821235,,,,
,,137008,2.052,5349.18,52.4754558,,,,
,,137019,2.063,4888.99,47.9609919,,,,
,,137030,2.074,4461.59,43.7681979,,,,
,,137041,2.085,4129.78,40.5131418,,,,
,,137053,2.097,3814.1,37.416321,,,,
,,137064,2.108,3502.1,34.355601,,,,
,,137075,2.119,3225.53,31.6424493,,,,
,,137086,2.13,2949.84,28.9379304,,,,
,,137097,2.141,2670.29,26.1955449,,,,
,,137109,2.153,2414.07,23.6820267,,,,
,,137120,2.164,2165.91,21.2475771,,,,
,,137131,2.175,1939.67,19.0281627,,,,
,,137142,2.186,1722.03,16.8931143,,,,
,,137154,2.198,1498.25,14.6978325,,,,
,,137165,2.209,1293.93,12.6934533,,,,
,,137176,2.22,1108.38,10.8732078,,,,
,,137187,2.231,912.66,8.9531946,,,,
,,137198,2.242,730.62,7.1673822,,,,
,,137210,2.254,568.57,5.5776717,,,,
,,137221,2.265,420.2,4.122162,,,,
,,137232,2.276,279.2,2.738952,,,,
,,137243,2.287,141.18,1.3849758,,,,
,,137254,2.298,16.13,0.1582353,,,,
,,137266,2.31,-88.57,-0.8688717,,,,
,,137277,2.321,-179.94,-1.7652114,,,,
,,137288,2.332,-271.31,-2.6615511,,,,
,,137299,2.343,-364.61,-3.5768241,,,,
,,137311,2.355,-451.25,-4.4267625,,,,
,,137322,2.366,-522.8,-5.128668,,,,
,,137333,2.377,-583.3,-5.722173,,,,
,,137344,2.388,-640.65,-6.2847765,,,,
,,137355,2.399,-698.18,-6.8491458,,,,
,,,,,,,,,
,,,,,3092.396784,,,,
